Ref,Temp,Rhum,Wdir,Wspd,Pres,Distance,Tx_power,Tx_height,Freq,Slope_Tx_Rx_50m,Roughness_Tx_Rx_50m,Rx_height,Azimut_Tx_Rx,Tilt_Tx_Rx,LOS,First_building_m,First_tree_m,Fresnel_buildings,Fresnel_trees,Buildings_near_Rx,Trees_near_Rx,Environment,E_field,Tx_antenna_height,Rx_antenna_height
cotonou_1341,30.7,55.0,293.0,13.0,1011.4,4799.097696201422,21238.37353,109.0,570.0,-0.0002582701635949,1.13674961628816,12.293725728988647,309.0890967067708,1.1544069172239535,1,-1.0,-1.0,0,0,3,4,1,66.5,100.0,10
cotonou_1192,30.7,55.0,293.0,13.0,1011.4,5149.89229132468,21238.37353,109.0,570.0,-7.984734129631651e-05,1.1214571584701247,13.29633092880249,306.9329966912877,1.0646407551125912,1,-1.0,-1.0,0,0,0,5,1,66.5,100.0,10
cotonou_1201,31.8,31.0,20.0,11.2,1010.9,5325.751776278166,21238.37353,109.0,570.0,-0.0002868788330643,1.143777332096779,12.487627029418944,304.73008993241,1.0381907885775037,0,5037.584846499588,4792.109313725243,2,11,1,14,1,78.2,100.0,10
cotonou_1103,31.8,31.0,20.0,11.2,1010.9,5432.131361256864,21238.37353,167.0,570.0,-0.002393394041596,3.218967768175609,11.90708327293396,163.69415197454464,1.6354089393837958,1,-1.0,-1.0,0,0,1,4,1,80.4,150.0,10
cotonou_1101,31.8,31.0,20.0,11.2,1010.9,5492.571572478567,21238.37353,109.0,570.0,-0.0001749342024803,1.0867427385195314,12.927932500839232,307.07177248805993,1.0020739224522794,0,5063.292431543368,5041.278116623614,2,10,1,6,1,70.4,100.0,10
cotonou_191,33.0,28.0,70.0,11.2,1010.0,4970.544131993259,21238.37353,167.0,570.0,-0.0027262630207198,3.3531491426879247,11.515289783477783,163.31238426350762,1.7916979315957482,1,-1.0,-1.0,0,0,0,5,1,80.4,150.0,10
cotonou_192,33.0,28.0,70.0,11.2,1010.0,5469.591242329795,21238.37353,167.0,570.0,-0.0021838096999062,3.144546529361619,13.120882272720335,160.61067640462795,1.6115096361119166,1,-1.0,-1.0,0,0,1,13,1,76.6,150.0,10
cotonou_1181,33.0,28.0,70.0,11.2,1010.0,5409.226577788564,21238.37353,167.0,570.0,-0.002120113909324,3.1075495539285893,13.116812944412231,157.09087026127884,1.6295268235148836,1,-1.0,-1.0,0,0,0,10,1,79.2,150.0,10
cotonou_1183,33.0,28.0,70.0,11.2,1010.0,5260.751110987329,21238.37353,109.0,570.0,-8.820078984612806e-06,1.1150451396744412,14.031977653503418,312.56669575644696,1.0342013528297664,0,-1.0,4807.419852926297,0,3,1,4,1,68.0,100.0,10
cotonou_1191,34.0,32.0,222.0,5.4,1009.0,5365.385562434221,21238.37353,109.0,570.0,-3.4541943431370244e-05,1.0927845813846488,13.910624742507936,308.6413722167984,1.0153323562488867,1,-1.0,-1.0,0,0,2,1,1,55.8,100.0,10
cotonou_1193,34.0,32.0,222.0,5.4,1009.0,5086.324652845987,21238.37353,109.0,570.0,1.7175147699755252e-05,1.1036040864435763,13.547499895095823,309.5055035352533,1.0751149167824927,1,-1.0,-1.0,0,0,4,7,1,61.3,100.0,10
